Date,CSGO,Minecraft,Nier Automata
1/04/2019,49200000,58500000,74700
1/05/2019,72300000,88700000,100000
1/06/2019,67500000,82200000,100000
1/07/2019,60900000,79900000,150000
1/08/2019,60500000,72000000,111000
1/09/2019,60800000,76500000,58400
1/10/2019,58500000,49800000,125000
1/11/2019,53500000,38900000,79300
1/12/2019,48100000,20300000,83400
1/01/2020,41900000,52800000,92400
1/02/2020,75800000,38800000,111000
1/03/2020,76700000,41000000,181000
1/04/2020,86400000,41000000,662000
1/05/2020,66800000,22900000,821000
1/06/2020,49800000,17200000,696000
1/07/2020,33900000,18700000,326000
1/08/2020,40400000,16900000,182000
1/09/2020,34500000,15300000,213000
1/10/2020,43200000,14600000,111000
1/11/2020,45900000,23600000,120000
1/12/2020,46100000,32700000,368000
1/01/2021,40700000,18700000,198000
1/02/2021,30200000,17100000,383000
1/03/2021,29700000,8910000,244000